REGION,PROVINCIA,DISTRITO,CODIGO,NOMBRE,CATEGORIA,TIPO,SUBTIPO,URL,LATITUD,LONGITUD
Junín,Satipo,SATIPO,"4,455",Mirador Cerro Satelite,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4455,-74.63151944444445,-11.263633333333333
Junín,Satipo,SATIPO,"4,456",Petroglifos De Paratushiali,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Petroglifos (Grabados en piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4456,-74.680451,-11.277257
Junín,Satipo,SATIPO,"4,457",Cataratas La Resistencia,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4457,-74.69990000000001,-11.28936
Junín,Satipo,PANGOA,"4,458",Catarata Imperitaja,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4458,-74.48840000000001,-11.454
Junín,Satipo,RÍO TAMBO,"4,459",Catarata De Meretari,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4459,-74.382792,-11.102672
Junín,Satipo,RÍO TAMBO,"4,461",Rio Samaireni,1. SITIOS NATURALES,Corrientes de agua,,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4461,-73.7582159577637,-11.051670796856818
Junín,Tarma,TARMA,"4,462",Andenerías De Vicora Anta,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4462,-75.68385594177243,-11.458319562609583
Junín,Tarma,TARMA,"4,463",Pueblo De Tarmatambo,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4463,-75.68722307682037,-11.47097703734884
Lima,Lima,LIMA,"4,464",Basílica Catedral De Lima,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4464,-77.02993100000003,-12.046615
Lima,Lima,LIMA,"4,465",Iglesia De Nuestra Señora De La Merced,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4465,-77.03267254232787,-12.048297910043674
Lima,Lima,LIMA,"4,466",Museo Josefina Ramos De Cox,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4466,-77.03777582209017,-12.052812853894393
Lima,Barranca,PARAMONGA,"4,471",Sitio Arqueológico El Porvenir,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4471,-77.816914,-10.63658
Lima,Barranca,PATIVILCA,"4,475",Sitio Arqueológico Pampa San José,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4475,-77.75233400000002,-10.697421
Ucayali,Padre Abad,CURIMANA,"4,478",Cascada El Bombo De Curimana,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4478,-75.15879999999998,-8.43702
Lima,Lima,LIMA,"4,481",Museo De Sitio Bodega Y Quadra,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Murallas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4481,-77.02860172883607,-12.044703231605432
Lima,Barranca,SUPE,"4,483",Sitio Arqueologico Chimu Capac,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4483,-77.71556900000002,-10.811893
Lima,Lima,LIMA,"4,484",Parque De La Exposición De Lima,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Parques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4484,-77.03576900000002,-12.063062
Lima,Lima,LIMA,"4,491",Museo Gráfico Del Diario El Peruano,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4491,-77.041943,-12.050747
Lima,Barranca,SUPE,"4,544",Sitio Arqueológico Era De Pando,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4544,-77.59347400000001,-10.838163
Lima,Barranca,SUPE,"4,545",Sitio Arqueológico Miraya,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4545,-77.53977199999997,-10.882305
Lima,Barranca,SUPE,"4,546",Sitio Arqueológico De Piedra Parada,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4546,-77.71495800000002,-10.813088
Lima,Lima,LIMA,"4,548",Barrio Chino,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Barrios históricos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4548,-77.02574219881137,-12.050969330176795
Arequipa,Caylloma,SIBAYO,"4,557",Casa Cural,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4557,-71.45720364418031,-15.48632149931683
